sample_id,X1_SoftSeg,X2_DA_Content,X3_HardSeg,X4_R_Ratio,X5_Crosslink,Iso_Type,Hard_Symmetry,Polyol_Type,Polyol_Mw_Score,Soft_Mw,Soft_Cryst,Interact_Cryst_Content,Synergy_Feature,DA_strategy,cross_class,poly_tem,healing_temperature,healing_time,strain_rate,tensile_strength,elongation,healing_eff
C-DAPU-4,0.5202,0.3676,0.4798,0.3023,0,2,0,1,0.4852,2000,0,0,0,1,0,60,,,25,6.47,650,
C-DAPU-C%-1,0.5397,0.343,0.4603,0.3252,0,2,0,1,0.4888,2000,0,0,0,1,0,60,,,25,12.98,600,
C-DAPU-C%-2,0.5406,0.3428,0.4594,0.3226,0,2,0,1,0.4852,2000,0,0,0,1,0,60,,,25,13.64,567,
C-DAPU-C%-3,0.5414,0.3427,0.4586,0.32,0,2,0,1,0.4817,2000,0,0,0,1,0,60,60,16,25,14.86,466,57.8
C-DAPU-C%-4,0.5422,0.3426,0.4578,0.3175,0,2,0,1,0.4781,2000,0,0,0,1,0,60,,,25,16.62,280,
C-DAPU-C%-5,0.543,0.3424,0.457,0.315,0,2,0,1,0.4747,2000,0,0,0,1,0,60,,,25,17.12,200,
"PU-DA-FGE-FA+1,8-BMI",0.3873,0.4405,0.6127,0.4,0,2,0,0,0,1000,0.5,0.1937,0,1,0,70,70,4,2,4.2,305.59,94.8
DA-PU-BMImain_chain-0,0.5253,0,0.4747,0.767,0,4,1,0,0.5,2000,1,0.5253,0.5253,0,0,65,180,20,50,48.9,853,
DA-PU-BMImain_chain-25,0.4987,0.2404,0.5013,0.696,0,4,1,0,0.5,2000,1,0.4987,0.4987,1,0,65,180,20,50,49.1,612,
DA-PU-BMImain_chain-50,0.4747,0.277,0.5253,0.637,0,4,1,0,0.5,2000,1,0.4747,0.4747,1,0,65,180,20,50,42,448,
DA-PU-BMImain_chain-75,0.453,0.3101,0.547,0.5872,0,4,1,0,0.5,2000,1,0.453,0.453,1,0,65,180,20,50,40,339,
DA-PU-BMImain_chain-100,0.433,0.3405,0.567,0.5446,0,4,1,0,0.5,2000,1,0.433,0.433,1,0,65,180,20,50,50.3,304,60
PU-BDO-UP,0.5254,0,0.4746,0.4428,0,4,1,0,0.5,2000,1,0.5254,0.5254,0,0,65,180,20,50,49.9,998,
PU-BDO-A,0.772,0,0.228,1,0,4,1,0,0.5,2000,0,0,0,0,0,75,120,24,50,0.63,248,53
PU-DA-PPG-R1.5,0.7169,0.1486,0.2831,0.4615,0,4,1,0,0.5,2000,0,0,0,1,0,75,120,24,50,2.4,510,74.2
PU-DA-PPG-R2.0,0.6551,0.181,0.3449,0.5,0,4,1,0,0.5,2000,0,0,0,1,0,75,120,24,50,6.55,444,79.8
PU-DA-PPG-R2.5,0.6031,0.2083,0.3969,0.5263,0,4,1,0,0.5,2000,0,0,0,1,0,75,120,24,50,10.09,247,
PU-DA-PPG-R2.0-hard1,0.4871,0.2692,0.5129,0.5,0,4,1,0,0,1000,0,0,0,1,0,75,120,24,50,8.5,,
PU-DA-PPG-R2.0-hard2,0.5875,0.2164,0.4125,0.5,0,4,1,0,0.25,1500,0,0,0,1,0,75,120,24,50,7.57,133,55
PU-DA-PPG-R2.0-SiO2纳米1,0.5874,0.2164,0.4124,0.5,0,4,1,0,0.25,1500,0,0,0,1,0,75,120,24,50,7.36,415,78.5
PU-DA-PPG-R2.0-SiO2纳米2,0.5872,0.2163,0.4123,0.5,0,4,1,0,0.25,1500,0,0,0,1,0,75,120,24,50,8.55,369,70
PBA-PU-2(热熔胶，自愈合无用),0.5328,0.2944,0.4672,0.5,0,1,1,1,0,1500,0.5,0.2664,0.2664,1,0,80,,,50,8.64,240,
PBA-PU-2.3(热熔胶，自愈合无用),0.4979,0.3164,0.5021,0.5169,0,1,1,1,0,1000,0.5,0.249,0.249,1,0,80,,,50,9.02,193,
PBA-PU-2.5(热熔胶，自愈合无用),0.4771,0.3295,0.5229,0.5263,0,1,1,1,0,1000,0.5,0.2385,0.2385,1,0,80,,,50,9.65,145,
PBA-PU-2.7(热熔胶，自愈合无用),0.4579,0.3416,0.5421,0.5347,0,1,1,1,0,1000,0.5,0.229,0.229,1,0,80,,,50,5.05,151,
PBA-PU-3(热熔胶，自愈合无用),0.4319,0.358,0.5681,0.5455,0,1,1,1,0,1000,0.5,0.216,0.216,1,0,80,,,50,,,
PTMG-PU-2(热熔胶，自愈合无用),0.5328,0.2944,0.4672,0.5,0,1,1,0,0,1000,0.5,0.2664,0.2664,1,0,80,,,50,1.19,403,
PTMG-PU-2.3(热熔胶，自愈合无用),0.4979,0.3164,0.5021,0.5169,0,1,1,0,0,1000,0.5,0.249,0.249,1,0,80,,,50,3.28,293,
PTMG-PU-2.5(热熔胶，自愈合无用),0.4771,0.3295,0.5229,0.5263,0,1,1,0,0,1000,0.5,0.2385,0.2385,1,0,80,,,50,5.06,190,
PTMG-PU-2.7(热熔胶，自愈合无用),0.4579,0.3416,0.5421,0.5347,0,1,1,0,0,1000,0.5,0.229,0.229,1,0,80,,,50,7.59,96,
DCPU-WYP,0.7916,0.1094,0.2084,0.2857,0.1094,4,1,0,0,1000,0.5,0.3958,0.3958,1,1,50,55,24,50,53.91,720,92.4
LPU-WYP-2,0.852,0,0.148,0.3333,0,4,1,0,0,1000,0.5,0.426,0.426,0,0,50,,,50,0.24,120,
