sample_id,X1_SoftSeg,X2_DA_Content,X3_HardSeg,X4_R_Ratio,X5_Crosslink,Iso_Type,Polyol_Type,Polyol_Mw_Score,DA_strategy,poly_tem,cross_class,healing_temperature,healing_time,strain_rate,tensile_strength,elongation,healing_eff
C-DAPU-C%-2,0.54,0.34,0.46,0.28,0.000567,2.0,1.0,0.97,1.0,60.0,0.0,60.0,16.0,25.0,13.64,567.0,
C-DAPU-C%-3,0.54,0.34,0.46,0.27,0.000574,2.0,1.0,0.96,1.0,60.0,0.0,60.0,16.0,25.0,14.86,466.0,58.0
C-DAPU-C%-4,0.54,0.34,0.46,0.27,0.000581,2.0,1.0,0.96,1.0,60.0,0.0,60.0,16.0,25.0,16.62,280.0,
C-DAPU-C%-5,0.54,0.34,0.46,0.27,0.000588,2.0,1.0,0.95,1.0,60.0,0.0,60.0,16.0,25.0,17.12,200.0,
"PU-DA-FGE-FA+1,8-BMI",0.39,0.44,0.61,0.33,0.000775,2.0,0.0,0.0,1.0,70.0,0.0,70.0,4.0,2.0,4.2,305.59,94.76
DA-PU-BMImain_chain-0,0.53,0.0,0.47,0.54,0.001169,4.0,0.0,1.0,0.0,65.0,0.0,180.0,0.33,50.0,48.9,853.0,0.0
DA-PU-BMImain_chain-25,0.5,0.24,0.5,0.49,0.001248,4.0,0.0,1.0,1.0,65.0,0.0,180.0,0.33,50.0,49.1,612.0,
DA-PU-BMImain_chain-50,0.47,0.28,0.53,0.45,0.00132,4.0,0.0,1.0,1.0,65.0,0.0,180.0,0.33,50.0,42.0,448.0,
DA-PU-BMImain_chain-75,0.45,0.31,0.55,0.41,0.001386,4.0,0.0,1.0,1.0,65.0,0.0,180.0,0.33,50.0,40.0,339.0,
DA-PU-BMImain_chain-100,0.43,0.34,0.57,0.38,0.001445,4.0,0.0,1.0,1.0,65.0,0.0,180.0,0.33,50.0,50.3,304.0,60.0
PU-BDO-UP,0.53,0.0,0.47,0.44,0.0,4.0,0.0,1.0,0.0,65.0,0.0,180.0,0.33,50.0,49.9,998.0,0.0
PU-BDO-A,0.77,0.0,0.23,1.0,0.0,4.0,0.0,1.0,0.0,75.0,0.0,60.0,24.0,50.0,0.63,248.0,0.0
PU-DA-PPG-R1.5,0.72,0.15,0.28,0.41,0.000269,4.0,0.0,1.0,1.0,75.0,0.0,120.0,24.0,50.0,2.4,510.0,74.0
PU-DA-PPG-R2.0,0.66,0.18,0.34,0.44,0.000328,4.0,0.0,1.0,1.0,75.0,0.0,120.0,24.0,50.0,6.55,444.0,80.0
PU-DA-PPG-R2.5,0.6,0.21,0.4,0.47,0.000377,4.0,0.0,1.0,1.0,75.0,0.0,120.0,24.0,50.0,10.09,247.0,35.0
PU-DA-PPG-R2.0-hard1,0.49,0.27,0.51,0.44,0.000487,4.0,0.0,0.0,1.0,75.0,0.0,120.0,24.0,50.0,8.5,7.0,44.0
PU-DA-PPG-R2.0-hard2,0.59,0.22,0.41,0.44,0.000392,4.0,0.0,0.5,1.0,75.0,0.0,120.0,24.0,50.0,7.57,133.0,55.0
PU-DA-PPG-R2.0-SiO2纳米1,0.59,0.22,0.41,0.44,0.000392,4.0,0.0,0.5,1.0,75.0,0.0,120.0,24.0,50.0,7.36,415.0,79.0
PU-DA-PPG-R2.0-SiO2纳米2,0.59,0.22,0.41,0.44,0.000392,4.0,0.0,0.5,1.0,75.0,0.0,120.0,24.0,50.0,8.55,369.0,70.0
PU-DA-PPG-R2.0-SiO2纳米3,0.59,0.22,0.41,0.44,0.000392,4.0,0.0,0.5,1.0,75.0,0.0,120.0,24.0,50.0,2.92,198.0,31.0
PBA-PU-2(热熔胶，自愈合无用),0.53,0.29,0.47,0.44,0.000533,0.0,1.0,0.0,1.0,80.0,0.0,60.0,24.0,50.0,8.64,240.0,
PBA-PU-2.3(热熔胶，自愈合无用),0.5,0.32,0.5,0.46,0.000573,0.0,1.0,0.0,1.0,80.0,0.0,1876.89,24.0,50.0,9.02,193.0,
PBA-PU-2.5(热熔胶，自愈合无用),0.48,0.33,0.52,0.47,0.000596,0.0,1.0,0.0,1.0,80.0,0.0,1876.89,24.0,50.0,9.65,145.0,
PBA-PU-2.7(热熔胶，自愈合无用),0.46,0.34,0.54,0.47,0.000618,0.0,1.0,0.0,1.0,80.0,0.0,1876.89,24.0,50.0,5.05,151.0,
PBA-PU-3(热熔胶，自愈合无用),0.43,0.36,0.57,0.48,0.000648,0.0,1.0,0.0,1.0,80.0,0.0,1876.89,24.0,50.0,,,
PTMG-PU-2(热熔胶，自愈合无用),0.53,0.29,0.47,0.44,0.000533,0.0,0.0,0.0,1.0,80.0,0.0,1876.89,24.0,50.0,1.19,403.0,
PTMG-PU-2.3(热熔胶，自愈合无用),0.5,0.32,0.5,0.46,0.000573,0.0,0.0,0.0,1.0,80.0,0.0,1876.89,24.0,50.0,3.28,293.0,
PTMG-PU-2.5(热熔胶，自愈合无用),0.47,0.34,0.53,0.47,0.000607,0.0,0.0,0.0,1.0,80.0,0.0,1876.89,24.0,50.0,7.59,190.0,
DCPU-WYP,0.79,0.11,0.21,0.24,0.000594,4.0,0.0,0.0,1.0,50.0,0.0,55.0,24.0,50.0,53.91,720.0,92.4
LPU-WYP,0.85,0.0,0.15,0.29,0.000426,4.0,0.0,0.0,0.0,50.0,0.0,55.0,24.0,50.0,0.24,120.0,0.0
