sample_id,Soft_Segment_Content,Furan_Content,Maleimide_Content,Hard_Segment_Content,NCO_OH_Ratio,Extra_Crosslinker_Content,Furan_Type,Network_Topology,Add_Crosslinker_Flag,Polyol_Class,Iso_Class,Extender_Class,Soft_Mw,Constraint_Factor,Hard_Symmetry,Soft_Cryst,Synergy_Feature,poly_tem,strain_rate,healing_temperature,healing_time,tensile_strength,elongation,healing_eff
L-DAPU-3,0.5944,0.167,0.1065,0.1321,0.4,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2000.0,0.0001,0.0,0.0,0.0,60.0,25.0,60.0,16.0,9.66,533.0,81.1
L-DAPU-4,0.588,0.176,0.1054,0.1307,0.3922,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2000.0,0.0001,0.0,0.0,0.0,60.0,25.0,60.0,16.0,8.95,540.0,78.0
L-DAPU-5,0.5817,0.1848,0.1042,0.1293,0.3846,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2000.0,0.0001,0.0,0.0,0.0,60.0,25.0,60.0,16.0,6.07,650.0,73.0
C-DAPU-1,0.535,0.1666,0.1794,0.1189,0.3338,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2000.0,0.0001,0.0,0.0,0.0,60.0,25.0,0.0,0.0,8.86,780.0,
C-DAPU-2,0.5246,0.1633,0.1955,0.1166,0.3226,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2000.0,0.0001,0.0,0.0,0.0,60.0,25.0,0.0,0.0,11.46,733.0,
C-DAPU-3,0.5145,0.1602,0.2109,0.1144,0.3121,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2000.0,0.0001,0.0,0.0,0.0,60.0,25.0,0.0,0.0,9.32,820.0,
C-DAPU-4,0.5048,0.1572,0.2258,0.1122,0.3023,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2000.0,0.0001,0.0,0.0,0.0,60.0,25.0,0.0,0.0,6.47,650.0,
C-DAPU-C%-1,0.5277,0.1603,0.1948,0.1173,0.3252,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2000.0,0.0001,0.0,0.0,0.0,60.0,25.0,0.0,0.0,12.98,600.0,
C-DAPU-C%-2,0.5246,0.1633,0.1955,0.1166,0.3226,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2000.0,0.0001,0.0,0.0,0.0,60.0,25.0,0.0,0.0,13.64,567.0,
C-DAPU-C%-3,0.5215,0.1663,0.1962,0.1159,0.32,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2000.0,0.0001,0.0,0.0,0.0,60.0,25.0,60.0,16.0,14.86,466.0,57.8
C-DAPU-C%-4,0.5185,0.1693,0.1969,0.1153,0.3175,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2000.0,0.0001,0.0,0.0,0.0,60.0,25.0,0.0,0.0,16.62,280.0,
C-DAPU-C%-5,0.5155,0.1723,0.1976,0.1146,0.315,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2000.0,0.0001,0.0,0.0,0.0,60.0,25.0,0.0,0.0,17.12,200.0,
"PU-DA-FGE-FA+1,8-BMI",0.3873,0.2047,0.2358,0.1722,0.4,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0002,0.0,1.0,0.0,70.0,2.0,70.0,4.0,4.2,305.59,96.74
DA-PU-BMImain_chain-0,0.5253,0.0,0.2,0.2747,0.767,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2000.0,0.0001,1.0,1.0,0.5253,65.0,50.0,180.0,20.0,48.9,853.0,
DA-PU-BMImain_chain-25,0.4987,0.0505,0.1899,0.2608,0.696,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2000.0,0.0001,1.0,1.0,0.4987,65.0,50.0,180.0,20.0,49.1,612.0,
DA-PU-BMImain_chain-50,0.4747,0.0962,0.1808,0.2483,0.637,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2000.0,0.0001,1.0,1.0,0.4747,65.0,50.0,180.0,20.0,42.0,448.0,
DA-PU-BMImain_chain-75,0.453,0.1377,0.1725,0.2369,0.5872,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2000.0,0.0001,1.0,1.0,0.453,65.0,50.0,180.0,20.0,40.0,339.0,
DA-PU-BMImain_chain-100,0.433,0.1756,0.1649,0.2265,0.5446,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2000.0,0.0001,1.0,1.0,0.433,65.0,50.0,180.0,20.0,50.3,304.0,60.0
PU-BDO-UP,0.5254,0.0,0.0,0.4746,0.4428,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2000.0,0.0002,1.0,1.0,0.5254,65.0,50.0,180.0,20.0,49.9,998.0,
PU-BDO-A,0.772,0.0,0.0,0.228,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2000.0,0.0001,1.0,0.0,0.0,75.0,50.0,120.0,1.0,0.63,248.0,53.0
PU-DA-PPG-R1.5,0.7169,0.0522,0.0963,0.1346,0.4615,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2000.0,0.0001,1.0,0.0,0.0,75.0,50.0,120.0,15.0,2.4,510.0,74.2
PU-DA-PPG-R2.0,0.6551,0.0636,0.1174,0.1639,0.5,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2000.0,0.0001,1.0,0.0,0.0,75.0,50.0,120.0,15.0,6.55,444.0,79.8
PU-DA-PPG-R2.5,0.6031,0.0732,0.1351,0.1886,0.5263,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2000.0,0.0001,1.0,0.0,0.0,75.0,50.0,120.0,15.0,10.09,247.0,35.1
PU-DA-PPG-R2.0-hard2,0.5875,0.0761,0.1404,0.196,0.5,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1500.0,0.0001,1.0,0.0,0.0,75.0,50.0,120.0,15.0,7.57,133.0,55.0
PU-DA-PPG-R2.0-SiO2纳米1,0.574,0.0743,0.1371,0.2145,0.3333,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1500.0,0.0001,1.0,0.0,0.0,75.0,50.0,120.0,15.0,7.36,415.0,78.5
PU-DA-PPG-R2.0-SiO2纳米2,0.5611,0.0727,0.1341,0.2321,0.25,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1500.0,0.0002,1.0,0.0,0.0,75.0,50.0,120.0,15.0,8.55,369.0,70.0
PU-DA-PPG-R2.0-SiO2纳米3,0.5488,0.0711,0.1311,0.249,0.2,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1500.0,0.0002,1.0,0.0,0.0,75.0,50.0,120.0,15.0,2.92,198.0,30.5
PBA-PU-2(热熔胶，自愈合无用),0.5328,0.1035,0.1909,0.1728,0.5,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1000.0,0.0002,1.0,1.0,0.5328,80.0,50.0,0.0,0.0,8.64,240.0,
PBA-PU-2.3(热熔胶，自愈合无用),0.4979,0.1112,0.2052,0.1857,0.5169,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1000.0,0.0002,1.0,1.0,0.4979,80.0,50.0,0.0,0.0,9.02,193.0,
PBA-PU-2.5(热熔胶，自愈合无用),0.4771,0.1158,0.2137,0.1934,0.5263,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1000.0,0.0002,1.0,1.0,0.4771,80.0,50.0,0.0,0.0,9.65,145.0,
PBA-PU-2.7(热熔胶，自愈合无用),0.4579,0.1201,0.2215,0.2005,0.5347,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1000.0,0.0002,1.0,1.0,0.4579,80.0,50.0,0.0,0.0,5.05,151.0,
PBA-PU-3(热熔胶，自愈合无用),0.4319,0.1258,0.2322,0.2101,0.5455,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1000.0,0.0002,1.0,1.0,0.4319,80.0,50.0,0.0,0.0,,,
PTMG-PU-2(热熔胶，自愈合无用),0.5328,0.1035,0.1909,0.1728,0.5,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0002,1.0,1.0,0.5328,80.0,50.0,0.0,0.0,1.19,403.0,
PTMG-PU-2.3(热熔胶，自愈合无用),0.4979,0.1112,0.2052,0.1857,0.5169,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0002,1.0,1.0,0.4979,80.0,50.0,0.0,0.0,3.28,293.0,
PTMG-PU-2.5(热熔胶，自愈合无用),0.4771,0.1158,0.2137,0.1934,0.5263,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0002,1.0,1.0,0.4771,80.0,50.0,0.0,0.0,5.06,190.0,
PTMG-PU-2.7(热熔胶，自愈合无用),0.4579,0.1201,0.2215,0.2005,0.5347,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0002,1.0,1.0,0.4579,80.0,50.0,0.0,0.0,7.59,96.0,
